Title,Link,Description,Image,Keyword,Ranking
,http://www.reuters.com/article/us-california-wildfires/rain-breaks-easing-search-for-remains-of-california-wildfire-idUSKCN1NT0BR,"Rain breaks, easing search for remains of California wildfire",,"wildfire,california",2.0
,//www.foxnews.com/us/california-wildfire-evacuees-plunged-into-states-housing-crisis,California wildfire evacuees plunged into state's housing crisis,,"wildfire,california",2.0
,//www.foxnews.com/sports/la-rams-raise-more-than-1-million-for-california-wildfire-victims,LA Rams raise more than $1 million for California wildfire victims,,"wildfire,california",2.0
,http://www.newsmax.com/health/health-news/california-wildfires-health-smoke/2018/11/22/id/891678/,Smoke Spreading from California Fires Sparks Health Concerns,,california,1.0
,http://www.thedailybeast.com/in-fire-ravaged-california-where-are-the-fema-trailers,"In Fire-Ravaged California, Where are the FEMA Trailers?",,california,1.0
,https://disneyprivacycenter.com/notice-to-california-residents/ ,Your California Privacy Rights,,california,1.0
California Is on Fire – Literally,https://firsttoknow.com/california-is-on-fire-literally/,California Is on Fire – Literally,,california,1.0
,https://www.wnd.com/2018/11/where-was-god-when-california-burned/,Where was God when California burned?,,california,1.0
,https://www.wnd.com/2018/11/new-california-governors-wife-wants-to-be-1st-partner/?cat_orig=politics,New California governor's wife wants to be '1st…,,california,1.0
,http://www.thedailybeast.com/california-cult-leader-uniclone-unicron-plans-sex-robot-brothelwith-a-twist,California Cult Leader Uniclone Unicron Plans Sex-Robot Brothel—With a Twist,,california,1.0
,http://www.dailycaller.com/2018/08/27/california-global-warming-heat-deaths/,Is This California's Most Absurd Global Warming Prediction Yet?,,california,1.0
,https://www.wnd.com/2018/11/california-took-9-years-to-create-fire-map/?cat_orig=us,California took 9 years to create fire map,,california,1.0
,https://www.wnd.com/2018/11/new-california-governors-wife-wants-to-be-1st-partner/?cat_orig=us,New California governor's wife wants to be '1st partner',,california,1.0
,http://www.cbsnews.com/news/camp-fire-rain-tamps-down-catastrophic-wildfire-search-for-remains-today-2018-11-24/,November 24 3:37 PM Catastrophic wildfire nearly out but soggy search for human remains goes on,https://cbsnews1.cbsistatic.com/hub/i/r/2018/11/24/c16b5671-deaa-485d-96ab-108f57066254/thumbnail/380x240/30e1aaf649e5a8e3ae12ce26467920f7/paradise-gettyimages-1064347652.jpg#,wildfire,1.0
,http://www.cbsnews.com/video/how-wildfire-smoke-and-poor-air-quality-can-affect-your-health/,How wildfire smoke and poor air quality can affect your health,https://cbsnews2.cbsistatic.com/hub/i/r/2018/11/24/41a0bac1-c2eb-42d5-93f4-1eeca0b2f274/thumbnail/60x60/1400b3e0c66dd1851f3d59aa1b350e2d/1124-satmo-morningrounds-agus-1719221-640x360.jpg#,wildfire,1.0
,http://www.cbsnews.com/news/california-wildfires-camp-fire-paradise-chico-first-responders-serve-volunteer-survivors-thanksgiving/,First responders give up Thanksgiving to serve wildfire survivors,https://cbsnews1.cbsistatic.com/hub/i/r/2018/11/22/ff46d06f-776e-423b-98d2-bc3e2b9c79c1/thumbnail/140x90/e31626c82eecb2b31a718ce8dfa3d795/rem21-evans-b-roll-calf-frame-6876.jpg#,wildfire,1.0
,http://www.cbsnews.com/video/california-gov-jerry-brown-says-trump-has-got-our-back-in-wildfire-recovery/,"Calif. Gov. Jerry Brown says Trump has ""got our back"" in wildfire recovery",https://cbsnews2.cbsistatic.com/hub/i/r/2018/11/18/626e6444-b83f-43e0-b2a8-556d7f769fbb/thumbnail/140x90/d18e5a8c097082364f3276b32e1fe03f/1118-ftn-govjerrybrown-1714848-640x360.jpg#,"wildfire,calif.",1.0
,http://www.bignewsnetwork.com/category/california-news,California News,,"news,california",1.0
,http://www.nbcnews.com/health/health-news/california-may-be-source-latest-romaine-lettuce-e-coli-outbreak-n939026,California romaine may have caused latest outbreak,,california,1.0
,http://www.foxbusiness.com/features/a-new-bill-could-help-relieve-pge-from-financial-wildfire-trouble,A new bill could help relieve PG&E from financial wildfire trouble,,wildfire,1.0
,http://www.foxbusiness.com/features/massive-romaine-lettuce-warning-linked-to-california,Massive romaine lettuce warning linked to California,,california,1.0
,//www.foxnews.com/us/crews-in-northern-california-continue-search-for-remains-report,Search for remains of Camp Fire victims continues in Northern California: report,,california,1.0
,http://www.cbsnews.com/news/camp-fire-northern-california-bill-blevins-interview-2018-11-23/,"Wildfire survivor says running through flames was the scariest moment of his life ""All of a sudden it set in that, 'Oh my God, I'm burnt bad. The skin is melting off my hands'""",https://cbsnews1.cbsistatic.com/hub/i/r/2018/11/23/5fb26e90-a1f0-443e-8532-b41de5c3b8ae/thumbnail/220x140/31c6ae3dd3bef0a7fa3e62d82c788493/evans-bill-blevins-camp-fire-2018-11-23.jpg#,wildfire,1.0
,//www.foxnews.com/us/colorblind-california-deputy-sees-different-world-after-receiving-special-glasses-from-fellow-officer,Colorblind California deputy sees 'different world' after receiving special glasses from fellow officer,,california,1.0
,//www.foxnews.com/lifestyle/man-engagement-ring-california-camp-fire-destroys-home,Man finds engagement ring in rubble after California Camp Fire destroys home,,california,1.0
,//www.foxbusiness.com/features/massive-romaine-lettuce-warning-linked-to-california,Massive romaine lettuce warning linked to California,,california,1.0
,//www.foxnews.com/us/family-dog-stuck-behind-in-camp-fire-survives,"California Camp Fire ravages town of Paradise, but family dog survives",,california,1.0
,https://www.foxnews.com/us/crews-in-northern-california-continue-search-for-remains-report,Search for remains of Camp Fire victims continues in Northern California: report,,california,1.0
,http://www.bignewsnetwork.com/category/portugal-news,Portugal News,,news,0.0
,http://www.bignewsnetwork.com/category/kolkata-news,Kolkata News,,news,0.0
,http://www.bignewsnetwork.com/category/las-vegas-news,Las Vegas News,,news,0.0
,http://www.bignewsnetwork.com/category/liverpool-news,Liverpool News,,news,0.0
,http://www.bignewsnetwork.com/category/london-news,London News,,news,0.0
,http://www.bignewsnetwork.com/category/long-beach-news,Long Beach News,,news,0.0
,http://www.bignewsnetwork.com/category/los-angeles-news,Los Angeles News,,news,0.0
,http://www.bignewsnetwork.com/category/kansas-city-news,Kansas City News,,news,0.0
,http://www.bignewsnetwork.com/category/louisville-news,Louisville News,,news,0.0
,http://www.bignewsnetwork.com/category/madrid-news,Madrid News,,news,0.0
,http://www.bignewsnetwork.com/category/manchester-news,Manchester News,,news,0.0
,http://www.bignewsnetwork.com/category/manila-news,Manila News,,news,0.0
,http://www.bignewsnetwork.com/category/melbourne-news,Melbourne News,,news,0.0
,http://www.bignewsnetwork.com/category/memphis-news,Memphis News,,news,0.0
,http://www.bignewsnetwork.com/category/mexico-city-news,Mexico City News,,news,0.0
,http://www.bignewsnetwork.com/category/miami-news,Miami News,,news,0.0
,http://www.bignewsnetwork.com/category/knoxville-news,Knoxville News,,news,0.0
,http://www.bignewsnetwork.com/category/jakarta-news,Jakarta News,,news,0.0
,http://www.bignewsnetwork.com/category/minneapolis-news,Minneapolis News,,news,0.0
,http://www.bignewsnetwork.com/category/el-paso-news,El Paso News,,news,0.0
,http://www.bignewsnetwork.com/category/liberia-news,Liberia News,,news,0.0
,http://www.bignewsnetwork.com/category/denver-news,Denver News,,news,0.0
,http://www.bignewsnetwork.com/category/detroit-news,Detroit News,,news,0.0
,http://www.bignewsnetwork.com/category/dubai-news,Dubai News,,news,0.0
,http://www.bignewsnetwork.com/category/lebanon-news,Lebanon News,,news,0.0
,http://www.bignewsnetwork.com/category/laos-news,Laos News,,news,0.0
,http://www.bignewsnetwork.com/category/dublin-news,Dublin News,,news,0.0
,http://www.bignewsnetwork.com/category/edinburgh-news,Edinburgh News,,news,0.0
,http://www.bignewsnetwork.com/category/indianapolis-news,Indianapolis News,,news,0.0
,http://www.bignewsnetwork.com/category/edmonton-news,Edmonton News,,news,0.0
,http://www.bignewsnetwork.com/category/fort-lauderdale-news,Fort Lauderdale News,,news,0.0
,http://www.bignewsnetwork.com/category/fort-worth-news,Fort Worth News,,news,0.0
,http://www.bignewsnetwork.com/category/glasgow-news,Glasgow News,,news,0.0
,http://www.bignewsnetwork.com/category/honolulu-news,Honolulu News,,news,0.0
,http://www.bignewsnetwork.com/category/hobart-news,Hobart News,,news,0.0
,http://www.bignewsnetwork.com/category/houston-news,Houston News,,news,0.0
,http://www.bignewsnetwork.com/category/milwaukee-news,Milwaukee News,,news,0.0
,http://www.bignewsnetwork.com/category/monte-carlo-news,Monte Carlo News,,news,0.0
,http://www.bignewsnetwork.com/category/dallas-news,Dallas News,,news,0.0
,http://www.bignewsnetwork.com/category/santa-barbara-news,Santa Barbara News,,news,0.0
,http://www.bignewsnetwork.com/category/reno-news,Reno News,,news,0.0
,http://www.bignewsnetwork.com/category/sacramento-news,Sacramento News,,news,0.0
,http://www.bignewsnetwork.com/category/salt-lake-city-news,Salt Lake City News,,news,0.0
,http://www.bignewsnetwork.com/category/san-antonio-news,San Antonio News,,news,0.0
,http://www.bignewsnetwork.com/category/san-diego-news,San Diego News,,news,0.0
,http://www.bignewsnetwork.com/category/san-francisco-news,San Francisco News,,news,0.0
,http://www.bignewsnetwork.com/category/san-jose-news,San Jose News,,news,0.0
,http://www.bignewsnetwork.com/category/seattle-news,Seattle News,,news,0.0
,http://www.bignewsnetwork.com/category/quebec-news,Quebec News,,news,0.0
,http://www.bignewsnetwork.com/category/shanghai-news,Shanghai News,,news,0.0
,http://www.bignewsnetwork.com/category/st-louis-news,St Louis News,,news,0.0
,http://www.bignewsnetwork.com/category/st-petersburg-florida-news,St Petersburg (Florida) News,,news,0.0
,http://www.bignewsnetwork.com/category/st-petersburg-russia-news,St Petersburg (Russia) News,,news,0.0
,http://www.bignewsnetwork.com/category/stockholm-news,Stockholm News,,news,0.0
,http://www.bignewsnetwork.com/category/sydney-news,Sydney News,,news,0.0
,http://www.bignewsnetwork.com/category/tampa-news,Tampa News,,news,0.0
,http://www.bignewsnetwork.com/category/raleigh-news,Raleigh News,,news,0.0
,http://www.bignewsnetwork.com/category/portland-news,Portland News,,news,0.0
,http://www.bignewsnetwork.com/category/montreal-news,Montreal News,,news,0.0
,http://www.bignewsnetwork.com/category/oakland-news,Oakland News,,news,0.0
,http://www.bignewsnetwork.com/category/moscow-news,Moscow News,,news,0.0
,http://www.bignewsnetwork.com/category/mumbai-news,Mumbai News,,news,0.0
,http://www.bignewsnetwork.com/category/munich-news,Munich News,,news,0.0
,http://www.bignewsnetwork.com/category/nashville-news,Nashville News,,news,0.0
,http://www.bignewsnetwork.com/category/new-orleans-news,New Orleans News,,news,0.0
,http://www.bignewsnetwork.com/category/new-york-city-news,New York City News,,news,0.0
,http://www.bignewsnetwork.com/category/oklahoma-city-news,Oklahoma City News,,news,0.0
,http://www.bignewsnetwork.com/category/omaha-news,Omaha News,,news,0.0
,http://www.bignewsnetwork.com/category/pittsburgh-news,Pittsburgh News,,news,0.0
,http://www.bignewsnetwork.com/category/orange-county-news,Orange County News,,news,0.0
,http://www.bignewsnetwork.com/category/orlando-news,Orlando News,,news,0.0
,http://www.bignewsnetwork.com/category/ottawa-news,Ottawa News,,news,0.0
,http://www.bignewsnetwork.com/category/paris-news,Paris News,,news,0.0
,http://www.bignewsnetwork.com/category/perth-news,Perth News,,news,0.0
,http://www.bignewsnetwork.com/category/philadelphia-news,Philadelphia News,,news,0.0
,http://www.bignewsnetwork.com/category/phoenix-news,Phoenix News,,news,0.0
,http://www.bignewsnetwork.com/category/delhi-news,Delhi News,,news,0.0
,http://www.bignewsnetwork.com/category/columbus-news,Columbus News,,news,0.0
,http://www.bignewsnetwork.com/category/qatar-news,Qatar News,,news,0.0
,http://www.bignewsnetwork.com/category/thailand-news,Thailand News,,news,0.0
,http://www.bignewsnetwork.com/category/trinidad-news,Trinidad News,,news,0.0
,http://www.bignewsnetwork.com/category/turkey-news,Turkey News,,news,0.0
,http://www.bignewsnetwork.com/category/uae-news,UAE News,,news,0.0
,http://www.bignewsnetwork.com/category/uganda-news,Uganda News,,news,0.0
,http://www.bignewsnetwork.com/category/united-kingdom-news,United Kingdom News,,news,0.0
,http://www.bignewsnetwork.com/category/united-states-news,United States News,,news,0.0
,http://www.bignewsnetwork.com/category/venezuela-news,Venezuela News,,news,0.0
,http://www.bignewsnetwork.com/category/vietnam-news,Vietnam News,,news,0.0
,http://www.bignewsnetwork.com/category/yemen-news,Yemen News,,news,0.0
,http://www.bignewsnetwork.com/category/zambia-news,Zambia News,,news,0.0
,http://www.bignewsnetwork.com/category/zimbabwe-news,Zimbabwe News,,news,0.0
,http://www.bignewsnetwork.com/category/abu-dhabi-news,Abu Dhabi News,,news,0.0
,http://www.bignewsnetwork.com/category/adelaide-news,Adelaide News,,news,0.0
,http://www.bignewsnetwork.com/category/norway-news,Norway News,,news,0.0
,http://www.bignewsnetwork.com/category/albuquerque-news,Albuquerque News,,news,0.0
,http://www.bignewsnetwork.com/category/amsterdam-news,Amsterdam News,,news,0.0
,http://www.bignewsnetwork.com/category/anchorage-news,Anchorage News,,news,0.0
,http://www.bignewsnetwork.com/category/north-korea-news,North Korea News,,news,0.0
,http://www.bignewsnetwork.com/category/taiwan-news,Taiwan News,,news,0.0
,http://www.bignewsnetwork.com/category/colorado-springs-news,Colorado Springs News,,news,0.0
,http://www.bignewsnetwork.com/category/northern-ireland-news,Northern Ireland News,,news,0.0
,http://www.bignewsnetwork.com/category/russia-news,Russia News,,news,0.0
,http://www.bignewsnetwork.com/category/saudi-arabia-news,Saudi Arabia News,,news,0.0
,http://www.bignewsnetwork.com/category/scotland-news,Scotland News,,news,0.0
,http://www.bignewsnetwork.com/category/sierra-leone-news,Sierra Leone News,,news,0.0
,http://www.bignewsnetwork.com/category/singapore-news,Singapore News,,news,0.0
,http://www.bignewsnetwork.com/category/south-korea-news,South Korea News,,news,0.0
,http://www.bignewsnetwork.com/category/poland-news,Poland News,,news,0.0
,http://www.bignewsnetwork.com/category/philippines-news,Philippines News,,news,0.0
,http://www.bignewsnetwork.com/category/palestinian-news,Palestinian News,,news,0.0
,http://www.bignewsnetwork.com/category/pakistan-news,Pakistan News,,news,0.0
,http://www.bignewsnetwork.com/category/oman-news,Oman News,,news,0.0
,http://www.bignewsnetwork.com/category/spain-news,Spain News,,news,0.0
,http://www.bignewsnetwork.com/category/sri-lanka-news,Sri Lanka News,,news,0.0
,http://www.bignewsnetwork.com/category/sudan-news,Sudan News,,news,0.0
,http://www.bignewsnetwork.com/category/sweden-news,Sweden News,,news,0.0
,http://www.bignewsnetwork.com/category/switzerland-news,Switzerland News,,news,0.0
,http://www.bignewsnetwork.com/category/syria-news,Syria News,,news,0.0
,http://www.bignewsnetwork.com/category/athens-news,Athens News,,news,0.0
,http://www.bignewsnetwork.com/category/atlanta-news,Atlanta News,,news,0.0
,http://www.bignewsnetwork.com/category/atlantic-city-news,Atlantic City News,,news,0.0
,http://www.bignewsnetwork.com/category/auckland-news,Auckland News,,news,0.0
,http://www.bignewsnetwork.com/category/buffalo-news,Buffalo News,,news,0.0
,http://www.bignewsnetwork.com/category/calgary-news,Calgary News,,news,0.0
,http://www.bignewsnetwork.com/category/toronto-news,Toronto News,,news,0.0
,http://www.bignewsnetwork.com/category/morocco-news,Morocco News,,news,0.0
,http://www.bignewsnetwork.com/category/mexico-news,Mexico News,,news,0.0
,http://www.bignewsnetwork.com/category/malaysia-news,Malaysia News,,news,0.0
,http://www.bignewsnetwork.com/category/madagascar-news,Madagascar News,,news,0.0
,http://www.bignewsnetwork.com/category/macau-news,Macau News,,news,0.0
,http://www.bignewsnetwork.com/category/canberra-news,Canberra News,,news,0.0
,http://www.bignewsnetwork.com/category/cape-town-news,Cape Town News,,news,0.0
,http://www.bignewsnetwork.com/category/cardiff-news,Cardiff News,,news,0.0
,http://www.bignewsnetwork.com/category/central-coast-news,Central Coast News,,news,0.0
,http://www.bignewsnetwork.com/category/charlotte-news,Charlotte News,,news,0.0
,http://www.bignewsnetwork.com/category/chicago-news,Chicago News,,news,0.0
,http://www.bignewsnetwork.com/category/christchurch-news,Christchurch News,,news,0.0
,http://www.bignewsnetwork.com/category/cincinnati-news,Cincinnati News,,news,0.0
,http://www.bignewsnetwork.com/category/cleveland-news,Cleveland News,,news,0.0
,http://www.bignewsnetwork.com/category/bristol-news,Bristol News,,news,0.0
,http://www.bignewsnetwork.com/category/brisbane-news,Brisbane News,,news,0.0
,http://www.bignewsnetwork.com/category/boston-news,Boston News,,news,0.0
,http://www.bignewsnetwork.com/category/berlin-news,Berlin News,,news,0.0
,http://www.bignewsnetwork.com/category/austin-news,Austin News,,news,0.0
,http://www.bignewsnetwork.com/category/baltimore-news,Baltimore News,,news,0.0
,http://www.bignewsnetwork.com/category/bangkok-news,Bangkok News,,news,0.0
,http://www.bignewsnetwork.com/category/barcelona-news,Barcelona News,,news,0.0
,http://www.bignewsnetwork.com/category/baton-rouge-news,Baton Rouge News,,news,0.0
,http://www.bignewsnetwork.com/category/beijing-news,Beijing News,,news,0.0
,http://www.bignewsnetwork.com/category/belfast-news,Belfast News,,news,0.0
,http://www.bignewsnetwork.com/category/nigeria-news,Nigeria News,,news,0.0
,http://www.bignewsnetwork.com/category/blue-mountains-news,Blue Mountains News,,news,0.0
,http://www.bignewsnetwork.com/category/nicaragua-news,Nicaragua News,,news,0.0
,http://www.bignewsnetwork.com/category/new-zealand-news,New Zealand News,,news,0.0
,http://www.bignewsnetwork.com/category/netherlands-news,Netherlands News,,news,0.0
,http://www.bignewsnetwork.com/category/nepal-news,Nepal News,,news,0.0
,http://www.bignewsnetwork.com/category/myanmar-news,Myanmar News,,news,0.0
,http://www.bignewsnetwork.com/category/birmingham-news,Birmingham News,,news,0.0
,http://www.bignewsnetwork.com/category/birmingham-uk-news,Birmingham (UK) News,,news,0.0
,http://www.bignewsnetwork.com/category/tokyo-news,Tokyo News,,news,0.0
,http://www.bignewsnetwork.com/category/digital-tv-news,Digital TV News,,news,0.0
,http://www.bignewsnetwork.com/category/tucson-news,Tucson News,,news,0.0
,http://www.zougla.grmarket-news/main,Market News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6306,African News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6307,China News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6296,Cuba News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6297,Europe News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6298,India/Pakistan News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6308,Iraq News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6309,Israel News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6299,Grant Funded News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6301,Newswise Live - Event in Progress,,news,0.0
,http://www.newswise.com/articles/channels?channel=6302,Newswise Live - Expert Spotlight,,news,0.0
,http://www.newswise.com/articles/channels?channel=6303,Newswise Live Events,,news,0.0
,http://www.newswise.com/institutions/list,Newsrooms,,news,0.0
,http://www.newswise.com/home/contact,Contact Newswise,,news,0.0
,http://www.newswise.com/ee/list/,Newswise Blog,,news,0.0
,http://www.newswise.com#jnews,Journal News,,news,0.0
,http://www.newswise.comjavascript:void(0);,JournalNews,,news,0.0
,http://www.newswise.com/users/register,Subscribe to Newswise,,news,0.0
,http://www.newswise.com/articles/channels?channel=6305,Afghanistan News,,news,0.0
,http://www.newswise.com/articles/channels?channel=57,DOE Science News,,news,0.0
,http://www.newswise.com/articles/channels?channel=6295,Journal Related News,,news,0.0
,https://www.wnd.com/wnd_video/4697899-2/,I. DAILY NEWSCAST:,,news,0.0
,http://www.bignewsnetwork.com/category/travel-news,Travel News,,news,0.0
,http://www.bignewsnetwork.com/category/us-military-news,US Military News,,news,0.0
,http://www.bignewsnetwork.com/category/us-police-news,US Police News,,news,0.0
,http://www.bignewsnetwork.com/category/womens-interest-news,Womens Interest News,,news,0.0
,http://www.bignewsnetwork.com/category/weather-news,Weather News,,news,0.0
,http://www.worldnetdaily.com/author/iltvdailynewscast/,ILTV Daily Newscast,,news,0.0
,https://www.wnd.com/2018/11/wnds-news-option-that-gives-you-control-over-web-time/,WND's news optionthat gives you controlover web time,,news,0.0
,https://www.wnd.com/wnd_video/thank-trump-campaign-promo-3/,W. TV NEWS: Thank Trump Campaign - Promo 3,,news,0.0
,http://www.newswise.com/articles/list?category=business,Business News,,news,0.0
,http://www.foxnews.com/politics/2018/07/28/gop-lawmaker-wants-answers-on-fbis-alleged-southern-poverty-law-center-ties.html,"Fox News GOP lawmaker wants answers on FBI's SPLC ties July 28, 2018",,news,0.0
,https://www.wnd.com/sign-up-for-wnds-free-email-alerts/,News Alerts,,news,0.0
,http://www.worldnetdaily.com/contact-wnd/?subject=tips,News Tips,,news,0.0
,http://www.newswise.com/articles/list?category=latest,Latest News,,news,0.0
,http://www.newswise.com/articles/list?category=science,Science News,,news,0.0
,http://www.newswise.com/articles/list?category=medicine,Medical News,,news,0.0
,http://www.newswise.com/articles/list?category=life,Life News,,news,0.0
,http://www.zougla.grgoodnews/main,Good News,,news,0.0
,http://www.zougla.gr/ola,News 24,,news,0.0
,http://www.bignewsnetwork.com/category/tulsa-news,Tulsa News,,news,0.0
,http://www.reuters.com/breakingviews,Breakingviews,,breaking,0.0
,https://www.navytimes.com,Navy News,,news,0.0
,http://www.defensenews.com,Defense News,,news,0.0
,http://www.federaltimes.com,Federal News,,news,0.0
,//www.foxnews.com,Fox News,,news,0.0
,//www.foxnews.com/category/news-events/fox-news-investigates.html,Fox News Investigates,,news,0.0
,//www.foxnews.com/entertainment/celebrity-news/index.html,Celebrity News,,news,0.0
,//www.foxnews.com/entertainment/tv/index.html,TV News,,news,0.0
,//www.foxnews.com/entertainment/music/index.html,Music News,,news,0.0
,//www.foxnews.com/entertainment/style/index.html,Style News,,news,0.0
,http://www.foxnews.com//video.foxnews.com/#sp=news-clips,News Clips,,news,0.0
,http://www.foxnews.com//shop.foxnews.com,Fox News Shop,,news,0.0
,//www.foxnews.com/go,Fox News Go,,news,0.0
,//www.foxnews.com/radio/,Fox News Radio,,news,0.0
,http://insider.foxnews.com,Fox News Insider,,news,0.0
,//www.foxnews.com/newsletters,Newsletters,,news,0.0
,//www.foxnews.com/shows.html,America's News HQ,,news,0.0
,https://radio.foxnews.com/podcast/fox-news-rundown,Fox News Rundown,,news,0.0
,https://www.marinecorpstimes.com,Marine Corps News,,news,0.0
,https://www.armytimes.com,Army News,,news,0.0
,https://www.airforcetimes.com,Air Force News,,news,0.0
,http://www.release-news.com/google-news-service,Silver Gain extra visibility through Google News. Presence in Google News has many benefits alone.,,news,0.0
,http://www.reuters.com/video/breakingviews,Breakingviews Video,,breaking,0.0
,//www.reuters.com/article/us-britain-brexit-breakingviews/breakingviews-brexit-vote-plan-is-more-twerp-than-tarp-idUSKCN1NS13K,Breakingviews: Vote is more twerp than TARP,,breaking,0.0
,//www.reuters.com/breakingviews,Breakingviews,,breaking,0.0
,http://newslink.reuters.com/join/subscribe,OUR NEWSLETTERS,,news,0.0
,http://www.reuters.com//newslink.reuters.com/join/subscribe,Newsletters,,news,0.0
,http://www.reuters.com//agency.reuters.com/en.html?utm_source=website&utm_medium=reuters&utm_campaign=site-referral&utm_content=us&utm_term=0,Reuters News Agency,,news,0.0
,http://www.reuters.com//financial.thomsonreuters.com/en/products/tools-applications/trading-investment-tools/eikon-trading-software.html,"Eikon Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface",,news,0.0
,http://www.release-news.com/submit-a-press-release/jesubmit,"Free Submit your news free for publication on Release-News.com. Increase your online presence. Due to high number of press releases we receive, we cannot guarantee every publication. Please use one of our paid options for guaranteed publication.",,news,0.0
,https://www.militarytimes.com,Military News,,news,0.0
,http://www.release-news.com/building-construction/pod-architecture-design-wins-metal-construction-news-grand-award-for-rabbit-hole-distillery,pod architecture + design Wins Metal Construction News Grand Award for Rabbit Hole Distillery,,news,0.0
,http://www.militarytimes.com/news,News,,news,0.0
,http://www.militarytimes.com/newsletters,Newsletters,,news,0.0
,http://www.defensenews.com?source=mil-nav,Defense News,,news,0.0
,http://www.militarytimes.com/video/2018/11/18/defense-news-weekly-full-episode-nov-18-2018/,"Defense News Weekly full episode: Nov. 18, 2018 Play Video",https://www.armytimes.com/resizer/SJAlsN2PdjyqgW5W71OGXDiO6pA=/150x100/filters:quality(100)/d2nzl2jt8r9iyg.cloudfront.net/11-16-2018/t_1542394671833_name_DNW_Logo_on_Sharp_BG_1080p_July_2018.jpg,news,0.0
,http://link.militarytimes.com/join/5b9/sign-up,For more newsletters click here,,news,0.0
,http://www.militarytimes.com/news-tips/,News Tips,,news,0.0
